gene	score	zlfc	RRA	RRA_Score_down	RRA_Score_down_adj	RRA_Score_up	RRA_Score_up_adj	essential ranking	enrich ranking
PSMA1	-11.74833879	-7.748338832	9.24087E-12	9.24087E-12	6.24214E-10	1	1	67	17767
NDC1	-11.7413173	-7.741317297	2.38974E-16	2.38974E-16	5.6074E-14	1	1	68	17766
TUBGCP5	-11.7353848	-7.735384799	8.399E-19	8.399E-19	8.32108E-16	1	1	69	17765
TNPO3	-11.687348	-7.687348002	6.10481E-13	6.10481E-13	5.15958E-11	1	1	70	17764
RPS3	-11.68035415	-7.680354145	2.85627E-16	2.85627E-16	6.41801E-14	1	1	71	17763
CCT8	-11.6570167	-7.657016702	5.54327E-13	5.54327E-13	4.75255E-11	1	1	72	17762
SNRPC	-11.62862634	-7.628626339	1.41586E-13	1.41586E-13	1.36482E-11	1	1	73	17761
TRAPPC1	-11.62065373	-7.620653731	1.02714E-17	1.02714E-17	5.38737E-15	1	1	74	17760
CDK7	-11.55811925	-7.558119245	6.30552E-19	6.30552E-19	7.49642E-16	1	1	75	17759
PRPF19	-11.55534689	-7.555348746	4.28562E-10	4.28562E-10	2.09385E-08	1	1	76	17758
PSMB5	-11.54891255	-7.54891255	2.51139E-16	2.51139E-16	5.81631E-14	1	1	77	17757
SRSF1	-11.53743616	-7.537436157	1.4058E-17	1.4058E-17	6.42811E-15	1	1	78	17756
RPS13	-11.51487811	-7.514878108	1.88573E-13	1.88573E-13	1.77927E-11	1	1	79	17755
BOP1	-11.51319475	-7.513194755	4.043E-17	4.043E-17	1.38651E-14	1	1	80	17754
MED12	-11.51247429	-7.51247429	1.5636E-13	1.5636E-13	1.48318E-11	1	1	81	17753
SARS	-11.50058172	-7.500581723	4.50109E-13	4.50109E-13	3.9347E-11	1	1	82	17752
PSMB7	-11.4948583	-7.494858304	4.72202E-15	4.72202E-15	6.79095E-13	1	1	83	17751
KIN	-11.45151813	-7.451518129	1.54031E-15	1.54031E-15	2.56713E-13	1	1	84	17750
RAD51C	-11.44054335	-7.440543378	5.30679E-12	5.30679E-12	3.72583E-10	1	1	85	17749
RPS19BP1	-11.39672458	-7.396724581	2.97515E-16	2.97515E-16	6.47023E-14	1	1	86	17748
HSP90B1	-11.39348887	-7.393488871	1.03939E-16	1.03939E-16	2.98958E-14	1	1	87	17747
RPS23	-11.39128214	-7.391282205	1.61608E-11	1.61608E-11	1.03668E-09	1	1	88	17746
TUBGCP6	-11.34888288	-7.348882875	1.28307E-17	1.28307E-17	6.31435E-15	1	1	89	17745
KPNB1	-11.34835988	-7.348359879	7.43154E-16	7.43154E-16	1.38049E-13	1	1	90	17744
NAE1	-11.31341025	-7.313410246	7.31178E-17	7.31178E-17	2.32841E-14	1	1	91	17743
PRPF38A	-11.30568242	-7.305682415	5.15116E-15	5.15116E-15	7.23312E-13	1	1	92	17742
UHRF1	-11.30451436	-7.304514362	2.34487E-15	2.34487E-15	3.73358E-13	1	1	93	17741
RPS20	-11.28038062	-7.280380625	5.59342E-16	5.59342E-16	1.09613E-13	1	1	94	17740
SURF6	-11.18717931	-7.187179308	5.70508E-17	5.70508E-17	1.88405E-14	1	1	95	17739
HJURP	-11.18527985	-7.185280891	2.40078E-10	2.40078E-10	1.27042E-08	1	1	96	17738
NOP2	-11.17957581	-7.179575821	3.32635E-12	3.32635E-12	2.46136E-10	1	1	97	17737
USP39	-11.17111111	-7.171111416	7.0897E-11	7.0897E-11	4.07841E-09	1	1	98	17736
RRP12	-11.12576421	-7.125764214	6.40461E-13	6.40461E-13	5.33707E-11	1	1	99	17735
NAF1	-11.11809366	-7.118093664	1.52419E-13	1.52419E-13	1.45352E-11	1	1	100	17734
CSNK1A1	-11.11678167	-7.116781907	5.38503E-11	5.38503E-11	3.19041E-09	1	1	101	17733
DCLRE1B	-11.11396571	-7.113965708	2.19589E-16	2.19589E-16	5.29179E-14	1	1	102	17732
NUP160	-11.11183917	-7.111839172	9.5317E-15	9.5317E-15	1.2591E-12	1	1	103	17731
HSPA9	-11.10580079	-7.10580079	4.09682E-15	4.09682E-15	5.98841E-13	1	1	104	17730
ELP4	-11.09201254	-7.092012541	8.45319E-16	8.45319E-16	1.53822E-13	1	1	105	17729
RPS4X	-11.08059211	-7.080592116	4.74862E-13	4.74862E-13	4.13083E-11	1	1	106	17728
NDUFAB1	-11.07302395	-7.073023953	5.26343E-18	5.26343E-18	3.02783E-15	1	1	107	17727
UTP15	-11.06471888	-7.064718879	3.1544E-15	3.1544E-15	4.84934E-13	1	1	108	17726
DHX33	-11.05170396	-7.051703962	1.59883E-16	1.59883E-16	4.07314E-14	1	1	109	17725
EIF4A1	-11.04980876	-7.049808812	1.17778E-11	1.17778E-11	7.75033E-10	1	1	110	17724
EIF4G1	-11.00177054	-7.001773748	7.38836E-10	7.38836E-10	3.36973E-08	1	1	111	17723
EIF3I	-10.95745933	-6.957459336	1.88904E-12	1.88904E-12	1.46467E-10	1	1	112	17722
RPL13A	-10.95621156	-6.956211558	3.37851E-14	3.37851E-14	3.81322E-12	1	1	113	17721
SF3B4	-10.93449448	-6.934494476	1.56624E-18	1.56624E-18	1.21438E-15	1	1	114	17720
PHF5A	-10.9045525	-6.904552499	9.68521E-16	9.68521E-16	1.74461E-13	1	1	115	17719
TRMT112	-10.89905843	-6.899078108	4.53137E-09	4.53137E-09	1.72666E-07	1	1	116	17718
PSMD14	-10.89612165	-6.896121647	6.5753E-14	6.5753E-14	6.89749E-12	1	1	117	17717
SNRPE	-10.89445176	-6.89445176	6.08284E-13	6.08284E-13	5.15958E-11	1	1	118	17716
OGT	-10.88265375	-6.882653749	3.31668E-15	3.31668E-15	5.05525E-13	1	1	119	17715
UPF1	-10.88231759	-6.882317586	2.31595E-14	2.31595E-14	2.79056E-12	1	1	120	17714
YAE1D1	-10.88059106	-6.880591064	2.05683E-15	2.05683E-15	3.30445E-13	1	1	121	17713
AK6	-10.86280255	-6.862803142	1.36252E-10	1.36252E-10	7.54591E-09	1	1	122	17712
FAU	-10.84581771	-6.845835706	4.14484E-09	4.14484E-09	1.58957E-07	1	1	123	17711
POLR2I	-10.81682776	-6.816827765	1.23417E-17	1.23417E-17	6.28828E-15	1	1	124	17710
NACA	-10.8133965	-6.813396503	3.42945E-17	3.42945E-17	1.22315E-14	1	1	125	17709
DDX10	-10.79580526	-6.795805256	2.97859E-14	2.97859E-14	3.44917E-12	1	1	126	17708
C19orf53	-10.78611203	-6.786112028	7.59195E-16	7.59195E-16	1.39574E-13	1	1	127	17707
GTF3C1	-10.74927327	-6.749273269	6.01257E-14	6.01257E-14	6.38227E-12	1	1	128	17706
PREB	-10.73129908	-6.731300269	2.74015E-10	2.74015E-10	1.40822E-08	1	1	129	17705
CSTF3	-10.73123864	-6.731240407	4.06139E-10	4.06139E-10	2.00074E-08	1	1	130	17704
CCNA2	-10.72098399	-6.720984017	7.17761E-12	7.17761E-12	4.90415E-10	1	1	131	17703
PRKAR1A	-10.71023451	-6.710234513	8.7289E-17	8.7289E-17	2.73092E-14	1	1	132	17702
CTU2	-10.68504118	-6.685041178	1.39129E-15	1.39129E-15	2.34064E-13	1	1	133	17701
MYC	-10.68264178	-6.682641779	3.60951E-14	3.60951E-14	4.02303E-12	1	1	134	17700
SRD5A3	-10.67858931	-6.678597181	1.81232E-09	1.81232E-09	7.55117E-08	1	1	135	17699
RPL10A	-10.67080231	-6.670802617	6.99523E-11	6.99523E-11	4.06169E-09	1	1	136	17698
MASTL	-10.66359013	-6.663590135	1.97073E-14	1.97073E-14	2.45763E-12	1	1	137	17697
PI4KA	-10.66293069	-6.662930685	2.87381E-17	2.87381E-17	1.07829E-14	1	1	138	17696
NOP16	-10.65543467	-6.655434667	1.0249E-13	1.0249E-13	1.02048E-11	1	1	139	17695
UFD1L	-10.63958983	-6.63958984	1.18764E-12	1.18764E-12	9.49735E-11	1	1	140	17694
KIF4A	-10.62370006	-6.623700062	2.01557E-17	2.01557E-17	8.169E-15	1	1	141	17693
RPS29	-10.62332595	-6.623326312	8.44358E-11	8.44358E-11	4.8261E-09	1	1	142	17692
SART3	-10.60825101	-6.608251011	2.39625E-18	2.39625E-18	1.58268E-15	1	1	143	17691
MAK16	-10.59778368	-6.59778377	2.02055E-11	2.02055E-11	1.26875E-09	1	1	144	17690
PNO1	-10.58027751	-6.580277511	1.20601E-16	1.20601E-16	3.36043E-14	1	1	145	17689
GAR1	-10.57268475	-6.572684747	4.33359E-14	4.33359E-14	4.7334E-12	1	1	146	17688
NUP155	-10.5572581	-6.55725813	6.07547E-12	6.07547E-12	4.18316E-10	1	1	147	17687
CACTIN	-10.55234054	-6.552340541	2.08511E-14	2.08511E-14	2.5822E-12	1	1	148	17686
CCDC84	-10.54898866	-6.548988706	1.02175E-11	1.02175E-11	6.82429E-10	1	1	149	17685
EXOSC3	-10.54637278	-6.546372784	1.41386E-13	1.41386E-13	1.36482E-11	1	1	150	17684
SHOC2	-10.54406544	-6.544065467	6.77996E-12	6.77996E-12	4.65027E-10	1	1	151	17683
KTI12	-10.53567913	-6.535679133	1.84811E-16	1.84811E-16	4.5774E-14	1	1	152	17682
FNTB	-10.49142027	-6.49142027	5.09631E-15	5.09631E-15	7.23312E-13	1	1	153	17681
EIF2B5	-10.48279482	-6.482795656	1.92002E-10	1.92002E-10	1.02822E-08	1	1	154	17680
ZNF830	-10.48277177	-6.482771772	5.14289E-15	5.14289E-15	7.23312E-13	1	1	155	17679
ARF4	-10.45801209	-6.458012145	1.36105E-11	1.36105E-11	8.85824E-10	1	1	156	17678
DYNLRB1	-10.44224573	-6.442245729	1.95256E-13	1.95256E-13	1.82304E-11	1	1	157	17677
YKT6	-10.42208915	-6.42208915	2.89934E-16	2.89934E-16	6.41801E-14	1	1	158	17676
PDCD11	-10.41679272	-6.416792832	2.56464E-11	2.56464E-11	1.58803E-09	1	1	159	17675
EXOSC4	-10.414185	-6.414184998	4.05393E-16	4.05393E-16	8.40625E-14	1	1	160	17674
SPDL1	-10.41027901	-6.410279005	7.27424E-16	7.27424E-16	1.36549E-13	1	1	161	17673
RFC3	-10.39884402	-6.398864977	4.82485E-09	4.82485E-09	1.82291E-07	1	1	162	17672
SRBD1	-10.39270585	-6.392705852	1.10325E-12	1.10325E-12	8.90235E-11	1	1	163	17671
RBX1	-10.37875014	-6.378751799	3.83055E-10	3.83055E-10	1.89751E-08	1	1	164	17670
APEX2	-10.37783153	-6.377831543	3.36862E-12	3.36862E-12	2.48234E-10	1	1	165	17669
RPLP2	-10.36820344	-6.368204738	2.9823E-10	2.9823E-10	1.52825E-08	1	1	166	17668
TRIAP1	-10.36292913	-6.36292918	1.07555E-11	1.07555E-11	7.13022E-10	1	1	167	17667
RNPS1	-10.36054319	-6.360543441	5.69719E-11	5.69719E-11	3.35307E-09	1	1	168	17666
PLK1	-10.35412498	-6.354124976	5.76064E-15	5.76064E-15	8.02574E-13	1	1	169	17665
RPS5	-10.35409475	-6.354104365	2.21453E-09	2.21453E-09	9.05771E-08	1	1	170	17664
CCT7	-10.33141015	-6.331411303	2.64424E-10	2.64424E-10	1.37438E-08	1	1	171	17663
METTL14	-10.33113845	-6.331141624	7.31112E-10	7.31112E-10	3.34306E-08	1	1	172	17662
AAMP	-10.33000759	-6.330007586	1.00452E-16	1.00452E-16	2.93666E-14	1	1	173	17661
RPS11	-10.32625119	-6.326251189	2.19721E-14	2.19721E-14	2.68375E-12	1	1	174	17660
EIF5A	-10.32489436	-6.324894384	4.95314E-12	4.95314E-12	3.50513E-10	1	1	175	17659
PPAN	-10.32224787	-6.322247879	1.7783E-12	1.7783E-12	1.39089E-10	1	1	176	17658
RNPC3	-10.31204774	-6.312047739	4.74819E-17	4.74819E-17	1.59763E-14	1	1	177	17657
RPL4	-10.29724203	-6.297244056	4.65864E-10	4.65864E-10	2.25142E-08	1	1	178	17656
GLTSCR2	-10.29631068	-6.296310685	7.13648E-15	7.13648E-15	9.64128E-13	1	1	179	17655
DNAJC17	-10.2957954	-6.295795401	2.86816E-14	2.86816E-14	3.343E-12	1	1	180	17654
SUGP1	-10.29571885	-6.295720196	3.09358E-10	3.09358E-10	1.57173E-08	1	1	181	17653
NOL12	-10.28415859	-6.28415859	1.00487E-15	1.00487E-15	1.78514E-13	1	1	182	17652
RPS18	-10.281257	-6.281332125	1.72995E-08	1.72995E-08	5.82079E-07	1	1	183	17651
TRNAU1AP	-10.24470212	-6.24470212	9.00844E-17	9.00844E-17	2.7598E-14	1	1	184	17650
TUBE1	-10.21963473	-6.219682788	1.10669E-08	1.10669E-08	3.90032E-07	1	1	185	17649
UBA2	-10.21079956	-6.210799842	6.41622E-11	6.41622E-11	3.73923E-09	1	1	186	17648
LAMTOR2	-10.20929152	-6.209291517	3.80292E-14	3.80292E-14	4.21227E-12	1	1	187	17647
FDX1L	-10.20928543	-6.209319317	7.80392E-09	7.80392E-09	2.8286E-07	1	1	188	17646
GPN2	-10.20315605	-6.20315605	4.2819E-13	4.2819E-13	3.76153E-11	1	1	189	17645
MEPCE	-10.20312307	-6.203123067	1.21337E-14	1.21337E-14	1.5598E-12	1	1	190	17644
POLR2A	-10.19987991	-6.199880734	1.90033E-10	1.90033E-10	1.02074E-08	1	1	191	17643
RPS15	-10.18357415	-6.183574152	2.48495E-15	2.48495E-15	3.88721E-13	1	1	192	17642
UBE2N	-10.1805922	-6.180592222	4.72349E-12	4.72349E-12	3.36936E-10	1	1	193	17641
SNAPC5	-10.17139677	-6.171398909	4.91306E-10	4.91306E-10	2.36158E-08	1	1	194	17640
VPS72	-10.16628827	-6.166291166	6.66956E-10	6.66956E-10	3.0813E-08	1	1	195	17639
CINP	-10.15319487	-6.153195312	1.01275E-10	1.01275E-10	5.7517E-09	1	1	196	17638
RAC1	-10.13374304	-6.13374305	1.20432E-12	1.20432E-12	9.58779E-11	1	1	197	17637
CRKL	-10.13266768	-6.132667683	5.97738E-17	5.97738E-17	1.93808E-14	1	1	198	17636
RPS17	-10.12916959	-6.129170751	2.68466E-10	2.68466E-10	1.38369E-08	1	1	199	17635
YAP1	-10.12556244	-6.125562437	5.51708E-16	5.51708E-16	1.09318E-13	1	1	200	17634
MED28	-10.11608175	-6.11608176	1.30366E-12	1.30366E-12	1.02967E-10	1	1	201	17633
UBE2D3	-10.10835587	-6.108356044	4.02014E-11	4.02014E-11	2.43021E-09	1	1	202	17632
RPL7	-10.10644477	-6.106447896	7.20201E-10	7.20201E-10	3.30163E-08	1	1	203	17631
GTF2H4	-10.08535948	-6.085359479	1.58906E-15	1.58906E-15	2.62386E-13	1	1	204	17630
CDK2	-10.06151837	-6.061518373	9.4897E-14	9.4897E-14	9.61533E-12	1	1	205	17629
ACTG1	-10.0354386	-6.035438603	2.05935E-16	2.05935E-16	5.03074E-14	1	1	206	17628
WDR82	-10.03432498	-6.034325594	1.41036E-10	1.41036E-10	7.78669E-09	1	1	207	17627
TOE1	-10.03063734	-6.030637526	4.33634E-11	4.33634E-11	2.60931E-09	1	1	208	17626
ATP6V0C	-10.02814068	-6.028140677	1.16029E-15	1.16029E-15	2.0065E-13	1	1	209	17625
ORC1	-10.02787023	-6.027876815	1.51546E-09	1.51546E-09	6.44993E-08	1	1	210	17624
RBM42	-10.01710234	-6.017103667	3.06473E-10	3.06473E-10	1.56153E-08	1	1	211	17623
MAX	-9.999128997	-5.999133787	1.10288E-09	1.10288E-09	4.80874E-08	1	1	212	17622
ANLN	-9.991458302	-5.99146845	2.33678E-09	2.33678E-09	9.47087E-08	1	1	213	17621
SEC61B	-9.972787347	-5.97286894	1.87894E-08	1.87894E-08	6.25132E-07	1	1	214	17620
FNTA	-9.953369403	-5.953369411	1.94034E-12	1.94034E-12	1.49792E-10	1	1	215	17619
UBE2C	-9.940009397	-5.940009398	2.26505E-13	2.26505E-13	2.09288E-11	1	1	216	17618
GPKOW	-9.926192593	-5.926192628	8.21943E-12	8.21943E-12	5.57327E-10	1	1	217	17617
TUT1	-9.907456809	-5.907456809	3.18301E-14	3.18301E-14	3.61545E-12	1	1	218	17616
NUP88	-9.906627725	-5.906648359	4.75137E-09	4.75137E-09	1.79896E-07	1	1	219	17615
EIF2B3	-9.895814036	-5.895814037	1.93565E-13	1.93565E-13	1.81676E-11	1	1	220	17614
CDIPT	-9.883826368	-5.883913933	2.01647E-08	2.01647E-08	6.69641E-07	1	1	221	17613
SMG7	-9.880974878	-5.880978884	9.22352E-10	9.22352E-10	4.13274E-08	1	1	222	17612
AATF	-9.875830499	-5.875830499	9.78044E-14	9.78044E-14	9.79858E-12	1	1	223	17611
TXNL4A	-9.869587307	-5.86958736	1.22309E-11	1.22309E-11	8.01886E-10	1	1	224	17610
PLK4	-9.867337607	-5.867337607	1.13111E-15	1.13111E-15	1.97756E-13	1	1	225	17609
MCM6	-9.860533806	-5.860533808	4.11151E-13	4.11151E-13	3.62973E-11	1	1	226	17608
HARS	-9.843294359	-5.843319603	5.81292E-09	5.81292E-09	2.14621E-07	1	1	227	17607
USP7	-9.83000866	-5.830008663	8.08208E-13	8.08208E-13	6.61136E-11	1	1	228	17606
SF3A2	-9.828530776	-5.82853078	8.8645E-13	8.8645E-13	7.21829E-11	1	1	229	17605
INTS1	-9.826546766	-5.826546766	3.63571E-16	3.63571E-16	7.62771E-14	1	1	230	17604
EXOSC2	-9.823047627	-5.823047627	1.01104E-15	1.01104E-15	1.78514E-13	1	1	231	17603
PSMD12	-9.822364059	-5.822365677	3.72558E-10	3.72558E-10	1.85065E-08	1	1	232	17602
RPL18A	-9.806438893	-5.806440299	3.2375E-10	3.2375E-10	1.63091E-08	1	1	233	17601
NCAPG	-9.804448001	-5.804454123	1.40979E-09	1.40979E-09	6.02898E-08	1	1	234	17600
EXOSC5	-9.801355021	-5.801380473	5.86067E-09	5.86067E-09	2.15937E-07	1	1	235	17599
CCDC86	-9.796424178	-5.796424367	4.34569E-11	4.34569E-11	2.60931E-09	1	1	236	17598
RAN	-9.793887818	-5.793901598	3.17291E-09	3.17291E-09	1.2546E-07	1	1	237	17597
WDR83	-9.78175177	-5.78175177	4.17919E-16	4.17919E-16	8.56637E-14	1	1	238	17596
TIMELESS	-9.762890833	-5.762900049	2.12207E-09	2.12207E-09	8.69951E-08	1	1	239	17595
TWISTNB	-9.762811491	-5.762813932	5.62181E-10	5.62181E-10	2.65925E-08	1	1	240	17594
USE1	-9.75179205	-5.751867777	1.74384E-08	1.74384E-08	5.85648E-07	1	1	241	17593
NCL	-9.74840576	-5.748460045	1.25004E-08	1.25004E-08	4.3454E-07	1	1	242	17592
SDAD1	-9.734126016	-5.734129269	7.4887E-10	7.4887E-10	3.40679E-08	1	1	243	17591
RPN2	-9.730520796	-5.730520796	1.47123E-16	1.47123E-16	3.85831E-14	1	1	244	17590
UTP23	-9.728276235	-5.728277768	3.52897E-10	3.52897E-10	1.75788E-08	1	1	245	17589
WWTR1	-9.726251712	-5.726251712	1.33829E-13	1.33829E-13	1.31131E-11	1	1	246	17588
KANSL1	-9.720361143	-5.720361143	5.84671E-15	5.84671E-15	8.08252E-13	1	1	247	17587
NKAP	-9.713640209	-5.713642432	5.11861E-10	5.11861E-10	2.44065E-08	1	1	248	17586
SNRPB	-9.694402476	-5.694449538	1.08371E-08	1.08371E-08	3.84209E-07	1	1	249	17585
MCM3	-9.686233122	-5.686233122	5.8009E-16	5.8009E-16	1.12443E-13	1	1	250	17584
RNMT	-9.685288425	-5.685288427	3.23393E-13	3.23393E-13	2.88353E-11	1	1	251	17583
GOSR2	-9.680142516	-5.680152495	2.29775E-09	2.29775E-09	9.34599E-08	1	1	252	17582
CENPE	-9.668988233	-5.668995945	1.77571E-09	1.77571E-09	7.41597E-08	1	1	253	17581
SF3B1	-9.661432823	-5.661432841	4.18745E-12	4.18745E-12	3.01108E-10	1	1	254	17580
NRDE2	-9.652140129	-5.652318061	4.09787E-08	4.09787E-08	1.25132E-06	1	1	255	17579
DDX18	-9.647167556	-5.647196135	6.58087E-09	6.58087E-09	2.40979E-07	1	1	256	17578
PRKCE	-9.643875622	-5.643875627	1.18354E-12	1.18354E-12	9.49735E-11	1	1	257	17577
KRI1	-9.625926301	-5.62592689	1.3564E-10	1.3564E-10	7.53542E-09	1	1	258	17576
PUF60	-9.615478136	-5.615483583	1.25428E-09	1.25428E-09	5.44222E-08	1	1	259	17575
SF3A1	-9.609511285	-5.609511489	4.70403E-11	4.70403E-11	2.815E-09	1	1	260	17574
PSMG4	-9.599465225	-5.599465699	1.09237E-10	1.09237E-10	6.14517E-09	1	1	261	17573
ELAVL1	-9.596293568	-5.596293569	1.54805E-14	1.54805E-14	1.97188E-12	1	1	262	17572
DDOST	-9.595659746	-5.596333634	1.55289E-07	1.55289E-07	4.17687E-06	1	1	263	17571
